Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Disc. Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
Omicron Coronae Borealis b,1.5,,187.83,0.83,,radial vel.,2012,274.1,2.13,4749,
Omicron Ursae Majoris b,4.1,,1630,3.9,,radial vel.,2012,183.7,3.09,5242,
PH1b,0.531,0.551,138.317,0.652,,transit,2012,3300,1.53,6407,
Pr0201 b,0.54,,4.4264,,,radial vel.,2012,,1.23,6174,
Pr0211 b,1.88,,2.1461,0.03176,,radial vel.,2012,,0.94,5300,
RR Caeli b,4.2,,4343.5,5.3,,timing,2012,,0.44,,
WASP-41b,0.94,1.18,3.052404,0.04,1244,transit,2012,590,0.93,5545,
WASP-42b,0.527,1.122,4.9816819,0.0561,,transit,2012,520,0.95,5315,
WASP-47b,1.21,1.15,4.16071,0.052,1275,transit,2012,650,1.11,5576,
WASP-49b,0.378,1.115,2.7817387,0.0379,,transit,2012,550,0.94,5600,
WASP-52b,0.46,1.27,1.7497798,0.0272,,transit,2012,460,0.87,5000,
WASP-54b,0.636,1.653,3.6936411,0.04987,,transit,2012,650,1.21,6100,
WASP-55b,0.627,1.335,4.4656291,0.0558,1290,transit,2012,1100,1.16,6070,
WASP-56b,0.571,1.092,4.617101,0.05458,,transit,2012,830,1.03,5600,[9]
WASP-57b,0.644,1.05,2.83891856,0.03769,,transit,2012,1480,0.89,5600,
WASP-58b,0.89,1.37,5.01718,0.0561,,transit,2012,980,0.94,5800,
WASP-59b,0.863,0.775,7.919585,0.0697,,transit,2012,410,0.72,4650,
WASP-60b,0.514,0.86,4.3050011,0.0531,,transit,2012,1300,1.08,5900,
WASP-61b,2.06,1.24,3.8559,0.0514,,transit,2012,1600,1.22,6320,
WASP-62b,0.57,1.39,4.411953,0.0567,,transit,2012,520,1.25,6280,
WASP-63b,0.38,1.43,4.37809,0.0574,,transit,2012,1100,1.32,5570,
WASP-64b,1.271,1.271,1.5732918,0.02648,,transit,2012,1100,1,5400,
WASP-66b,2.32,1.39,4.086052,0.0546,,transit,2012,1200,1.3,6580,
WASP-67b,0.42,1.4,4.61442,0.0517,,transit,2012,730,0.87,5240,
WASP-71b,2.242,1.46,2.9036747,0.04619,,transit,2012,1130,1.56,6059,
WASP-72b,1.5461,1.27,2.2167421,0.03708,,transit,2012,1100,1.39,6250,
WASP-77Ab,1.76,1.21,1.3600309,0.024,,transit,2012,300,1,5500,
WASP-78b,0.89,1.7,2.17517632,0.0362,,transit,2012,1800,1.17,6100,
WASP-79b,0.9,2.09,3.6623866,0.0535,,transit,2012,780,1.38,6600,
WASP-80b,0.538,0.999,3.06785234,0.0344,,transit,2012,200,0.58,4143,
WISE 1217+1626 b,22,0.934,,8,,imaging,2012,33,0.03,575,
WTS-1b,4.01,1.49,3.352057,0.047,,transit,2012,10000,1.2,6250,
2MASS J01225093-2439505 b,24.5,,,52,,imaging,2013,120,0.4,3530,
BD+15 2940 b,1.11,,137.48,0.539,,radial vel.,2013,572.2,1.1,4796,
COROT-25b,0.27,1.08,4.86069,0.0578,,transit,2013,3300,1.09,6040,
COROT-26b,0.52,1.26,4.20474,0.0526,,transit,2013,5400,1.09,5590,
DENIS-P J082303.1-491201 b,28.5,,246.36,0.36,,imaging,2013,67.7,0.07,,
Gliese 163 b,0.03335,,8.63182,0.0607,,radial vel.,2013,48.8,0.4,3500,
Gliese 163 c,0.0214,,25.63058,0.1254,,radial vel.,2013,48.8,0.4,3500,
Gliese 163 d,0.0925,,603.95116,1.0304,,radial vel.,2013,48.8,0.4,3500,
Gliese 221 b,0.027,,3.8728,0.0428,,radial vel.,2013,66,0.7,4324,
Gliese 221 c,0.17,,125.94,0.435,,radial vel.,2013,66,0.7,4324,
Gliese 328 b,2.3,,4100,4.5,,radial vel.,2013,65.3,0.69,3900,
Gliese 504 b,4,,,43.5,,imaging,2013,58.5,1.22,6234,
Gliese 667 Ce,0.008,,62.24,0.213,,radial vel.,2013,22,0.33,3350,
Gliese 667 Cf,0.008,,39.026,0.156,,radial vel.,2013,22,0.33,3350,
Gliese 667 Cg,0.014,,256.2,0.549,,radial vel.,2013,22,0.33,3350,
HATS-2b,1.345,1.168,1.354133,0.023,,transit,2013,1200,0.88,5227,
HATS-3b,1.071,1.381,3.547851,0.0485,1648,transit,2013,1480,1.21,6351,
HD 2952 b,1.6,,311.6,1.2,,radial vel.,2013,375.8,2.54,4844,
HD 13908 b,0.865,,19.382,0.154,,radial vel.,2013,218.2,1.29,6255,
HD 13908 c,5.13,,931,2.03,,radial vel.,2013,218.2,1.29,6255,
HD 40307 f,0.0164,,51.76,0.247,,radial vel.,2013,41.8,0.77,4956,
HD 40307 g,0.0223,,197.8,0.6,,radial vel.,2013,41.8,0.77,4956,
HD 65216 c,0.17,,152.6,0.54,,radial vel.,2013,116.1,0.92,5666,
HD 95086 b,5,,,55.7,,imaging,2013,298.7,1.6,,
HD 103774 b,0.367,,5.8881,0.07,,radial vel.,2013,173.1,1.33,6489,
HD 106906 b,11,,,650,,imaging,2013,299.5,1.5,6516,
HD 109271 b,0.054,,7.8543,0.079,,radial vel.,2013,185.6,1.05,5783,
HD 109271 c,0.076,,30.93,0.196,,radial vel.,2013,185.6,1.05,5783,
HD 113337 b,2.83,,324,0.92,,radial vel.,2013,122.0,1.4,6576.6,
HD 120084 b,4.5,,2082,4.3,,radial vel.,2013,318.5,2.39,4892,
HD 159243 b,1.13,,12.62,0.11,,radial vel.,2013,223.7,1.12,6123,
HD 159243 c,1.9,,248.4,0.8,,radial vel.,2013,223.7,1.12,6123,
HD 233604 b,6.575,,192,0.747,,radial vel.,2013,,1.5,4791,
HD 285507 b,0.917,,6.0881,,,radial vel.,2013,138.4,0.73,4503,
HIP 63242 b,9.18,,124.6,0.565,,radial vel.,2013,486.8,1.54,4830,
HIP 91258 b,1.068,,5.0505,0.057,,radial vel.,2013,145.0,0.95,5519,
KELT-3b,1.477,1.345,2.7033904,0.04122,,transit,2013,580,1.28,6306,
Kepler-37b,0.03146,0.029,13.3675,,,transit,2013,220,0.8,5417,
Kepler-37c,0.03776,0.067,21.302,,,transit,2013,220,0.8,5417,
Kepler-37d,0.03839,0.173,39.7922,,,transit,2013,220,0.8,5417,
Kepler-61b,,0.192,59.87756,,,transit,2013,,0.64,4017,
Kepler-62b,0.03,0.117,5.714932,0.0553,,transit,2013,1200,0.69,4925,
Kepler-62c,0.013,0.048,12.4417,0.0929,,transit,2013,1200,0.69,4925,
Kepler-62d,0.044,0.174,18.16406,0.12,,transit,2013,1200,0.69,4925,
Kepler-62e,0.113,0.144,122.3874,0.427,,transit,2013,1200,0.69,4925,
Kepler-62f,0.11,0.126,267.291,0.718,,transit,2013,1200,0.69,4925,Potentially habitable exoplanet
Kepler-63b,0.378,0.545,9.4341505,0.08,,transit,2013,650,0.98,5576,
Kepler-66b,,0.25,17.815815,0.1352,,transit,2013,3610,1.04,5962,
Kepler-67b,,0.262,15.7259,0.1171,,transit,2013,3610,0.86,5331,
Kepler-68b,0.01878,0.208,5.39875,,1280,transit,2013,440,1.08,5793,
Kepler-68c,0.02265,0.089,9.60504,,,transit,2013,440,1.08,5793,
Kepler-68d,0.84007,,625,,,radial vel.,2013,440,1.08,5793,
Kepler-69b,,0.2,13.722341,0.094,,transit,2013,,0.81,5638,
Kepler-69c,,0.153,242.4613,0.64,,transit,2013,,0.81,5638,
Kepler-74b,0.63,0.96,7.340711,0.0781,,transit,2013,4300,1.18,6000,
Kepler-75b,10.1,1.05,8.8849116,0.0818,,transit,2013,3700,0.91,5200,
Kepler-76b,2.01,1.36,1.5449298,0.0274,,transit,2013,,1.2,6409,
Kepler-77b,0.43,0.96,3.57878087,0.04501,,transit,2013,1900,0.95,5520,
Kepler-78b,0.006,0.105,0.355,,2330,transit,2013,,0.76,5058,
Kepler-87b,1.02,1.204,114.73635,0.481,478,transit,2013,,1.1,5600,
Kepler-87c,0.02,0.548,191.2318,0.676,403,transit,2013,,1.1,5600,
Kepler-88b,0.027,0.337,10.95416,,,transit,2013,1110,0.96,5471,
Kepler-88c,0.626,,22.3395,0.15525,,timing,2013,1110,0.96,5471,
Kepler-89b,0.033,0.153,3.743208,0.05119,,transit,2013,,1.28,6182,
Kepler-89c,0.049,0.385,10.423648,0.1013,,transit,2013,,1.28,6182,
Kepler-89d,0.334,1.005,22.342989,0.1684,,transit,2013,,1.28,6182,
Kepler-89e,0.11,0.585,54.32031,0.3046,,transit,2013,,1.28,6182,
Kepler-90b,,0.117,7.008151,0.074,1056,transit,2013,2500,1.2,6080,
Kepler-90c,,0.106,8.719375,0.089,981,transit,2013,2500,1.2,6080,
Kepler-90d,,0.256,59.73667,0.32,518,transit,2013,2500,1.2,6080,
Kepler-90e,,0.237,91.93913,0.42,448,transit,2013,2500,1.2,6080,
Kepler-90f,,0.257,124.9144,0.48,592,transit,2013,2500,1.2,6080,
Kepler-90g,,0.723,210.60697,0.71,340,transit,2013,2500,1.2,6080,
Kepler-90h,,1.008,331.60059,1.01,292,transit,2013,2500,1.2,6080,
Kepler-91b,0.81,1.367,6.24658,0.0731,,transit,2013,3400,1.31,4550,
Kepler-92b,0.202,0.313,13.749,,,transit,2013,,1.21,5883,
Kepler-92c,0.019,0.232,26.723,,,transit,2013,,1.21,5883,
Kepler-102e,0.028,0.198,16.1457,,579,transit,2013,,0.81,4909,
Kepler-105b,,0.429,5.4122,0.066,,transit,2013,,0.96,5827,
Kepler-114c,0.009,0.143,8.041,,623,transit,2013,,0.56,4605,
Kepler-114d,0.012,0.226,11.776,,549,transit,2013,,0.56,4605,
Kepler-128b,0.097,0.101,15.09,,,transit,2013,,1.18,6090,
Kepler-128c,0.105,0.101,22.804,,,transit,2013,,1.18,6090,
Kepler-145b,0.117,0.236,22.951,,,transit,2013,,1.32,6022,
Kepler-145c,0.25,0.385,42.882,,,transit,2013,,1.32,6022,
Kepler-177b,0.006,0.259,36.855,,,transit,2013,,1.07,5942,
Kepler-177c,0.024,0.633,49.412,,,transit,2013,,1.07,5942,
Kepler-238e,0.534,0.5,23.654,,,transit,2013,,1.06,5751,
Kepler-238f,0.042,0.178,50.447,,,transit,2013,,1.06,5751,
Kepler-276c,0.052,0.259,31.884,,,transit,2013,,1.1,6105,
Kepler-276d,0.051,0.25,48.648,,,transit,2013,,1.1,6105,
Kepler-277b,0.275,0.261,17.324,,,transit,2013,,1.12,5946,
Kepler-277c,0.202,0.3,33.006,,,transit,2013,,1.12,5946,
Kepler-279c,0.155,0.384,35.736,,,transit,2013,,1.1,6363,
Kepler-279d,0.118,0.277,54.414,,,transit,2013,,1.1,6363,
Kepler-282d,0.192,0.219,24.806,,,transit,2013,,0.97,5602,
Kepler-282e,0.177,0.277,44.347,,,transit,2013,,0.97,5602,
Kepler-305b,0.033,0.321,5.487,,,transit,2013,,0.76,5100,
Kepler-305c,0.019,0.294,8.291,,,transit,2013,,0.76,5100,
Kepler-307b,0.02341,0.217,10.4208,,,transit,2013,,0.91,5367,
Kepler-307c,0.01145,0.196,13.0729,,,transit,2013,,0.91,5367,
Kepler-328b,0.09,0.205,34.921,,,transit,2013,,1.15,5914,
Kepler-328c,0.124,0.482,71.312,,,transit,2013,,1.15,5914,
Kepler-350c,0.019,0.277,17.849,,,transit,2013,,1,6186,
Kepler-350d,0.047,0.25,26.136,,,transit,2013,,1,6186,
Kepler-396b,0.238,0.312,42.994,,,transit,2013,,0.85,5384,
Kepler-396c,0.056,0.473,88.505,,,transit,2013,,0.85,5384,
Kepler-410Ab,,0.253,17.833648,0.1226,,transit,2013,430,1.21,6273,
Kepler-411b,,0.168,3.00516,0.038,1040,transit,2013,,0.83,4974,
MOA-2008-BLG-379Lb,4.1,,,3.3,,microlensing,2013,11000,0.56,,
MOA-2010-BLG-328Lb,0.02895,,,0.92,,microlensing,2013,2600,0.11,,
MOA-2011-BLG-322Lb,11.6,,,4.3,,microlensing,2013,24700,0.39,,
OGLE-2012-BLG-358Lb,1.85,,,0.87,,microlensing,2013,5700,0.02,,
OGLE-2012-BLG-406Lb,2.73,,,3.45,,microlensing,2013,16200,0.44,,
Omega Serpentis b,1.7,,277.02,1.1,,radial vel.,2013,263.0,2.17,4770,
PH2b,,0.903,282.5255,0.828,281,transit,2013,,0.94,5629,
POTS-1b,2.31,0.941,3.1606296,0.03734,,transit,2013,3900,0.69,4400,
ROXs 12b,16,,,210,,imaging,2013,390,0.87,3850,
ROXs 42Bb,9,,,157,,imaging,2013,440,1,,
Tau Geminorum b,20.6,,305.5,1.17,,radial vel.,2013,301.7,2.3,4388,
WASP-8c,9.45,,4323,5.28,,radial vel.,2013,280,1.03,5600,
WASP-65b,1.55,1.112,2.3114243,0.0334,,transit,2013,1000,0.93,5600,
WASP-75b,1.07,1.27,2.484193,0.0375,,transit,2013,850,1.14,6100,
BD-11 4672 b,0.53,,1667,2.28,,radial vel.,2014,89,0.57,4475,
Beta Cancri b,7.8,,605.2,1.7,,radial vel.,2014,290.4,1.7,4092.1,
Beta Ursae Minoris b,6.1,,522.3,1.4,,radial vel.,2014,126.5,1.4,4126,
COROT-22b,0.038,0.435,9.75598,0.092,885,transit,2014,1930,1.1,5939,
COROT-24b,0.018,0.33,5.1134,0.056,1070,transit,2014,2000,0.91,4950,
COROT-24c,0.088,0.44,11.759,0.098,850,transit,2014,2000,0.91,4950,
COROT-27b,10.39,1.007,3.57532,0.0476,1500,transit,2014,,1.05,5900,
Gliese 687 b,0.058,,38.14,0.16353,,radial vel.,2014,14.8,0.41,3413,
Gliese 832 c,0.017,,35.68,0.163,,radial vel.,2014,16.1,0.45,3472,
GU Piscium b,11.3,1.265,,2000,,imaging,2014,160,0.33,,
HAT-P-44b,0.352,1.242,4.301219,0.0507,,transit,2014,1180,0.94,5295,
HAT-P-44c,4,,872.2,1.752,,radial vel.,2014,1180,0.94,5295,
HAT-P-45b,0.892,1.426,3.128992,0.0452,,transit,2014,990,1.26,6330,
HAT-P-46b,0.493,1.284,4.463129,0.0577,,transit,2014,970,1.28,6120,
HAT-P-49b,1.73,1.413,2.691548,0.0438,2131,transit,2014,1050,1.54,6820,
HATS-4b,1.323,1.02,2.516729,0.0362,1315,transit,2014,1400,1,5403,
HATS-5b,0.237,0.912,4.763387,0.0542,1025,transit,2014,840,0.94,5304,
HD 564 b,0.33,,492.3,1.2,,radial vel.,2014,175,0.96,5902,
HD 4203 c,2.17,,6700,6.95,,radial vel.,2014,253.8,1.13,5702,
HD 5319 c,1.15,,886,2.071,,radial vel.,2014,370,1.51,4958,
HD 10442 b,2.1,,1043,2.335,,radial vel.,2014,,1.56,5034,
HD 14067 b,7.8,,1455,3.4,,radial vel.,2014,533,2.4,4815,
HD 30669 b,0.47,,1684,2.69,,radial vel.,2014,186,0.92,5400,
HD 75784 b,1.15,,341.7,1.073,,radial vel.,2014,224,1.41,4917,
HD 100546 b,,6.9,,53,,imaging,2014,320,2.4,10500,Largest exoplanet discovered[10]
HD 103720 b,0.62,,4.5557,0.0498,,radial vel.,2014,136,0.79,5017,
HD 108341 b,3.5,,1129,2,,radial vel.,2014,161,0.84,5122,
HD 114613 b,0.48,,3827,5.16,,radial vel.,2014,66.8,1.36,5729,
HD 141399 b,0.451,,94.44,0.415,,radial vel.,2014,118,1.07,5600,
HD 141399 c,1.33,,201.99,0.689,,radial vel.,2014,118,1.07,5600,
HD 141399 d,1.18,,1069.8,2.09,,radial vel.,2014,118,1.07,5600,
HD 141399 e,0.66,,5000,5,,radial vel.,2014,118,1.07,5600,
HD 154857 c,2.58,,3452,5.36,,radial vel.,2014,223.5,1.72,5605,
HD 330075 b,0.62,,3.38773,0.039,,radial vel.,2014,164,0.7,5017,
HIP 97233 b,20,,1058.8,2.55,,radial vel.,2014,347,1.93,5020,
HIP 105854 b,8.2,,184.2,0.81,,radial vel.,2014,276,2.1,4780,
HIP 116454 b,0.037,0.226,9.1205,0.0906,,radial vel.,2014,180,0.78,5089,
Kapteyn c,0.022,,121.54,0.311,,radial vel.,2014,12.8,0.28,3550,
KELT-6b,0.442,1.18,7.8455821,0.08,,transit,2014,720,1.13,6272,
KIC 10001893 b,,,0.2197,,,imaging,2014,,,27500,
KIC 10001893 c,,,0.32528,,,imaging,2014,,,27500,
KIC 10001893 d,,,0.81161,,,imaging,2014,,,27500,
Kepler-23d,,0.196,15.274299,0.124,,transit,2014,2600,1.11,5828,
Kepler-24d,,0.149,4.244384,0.051,,transit,2014,3900,1.03,5897,
Kepler-24e,,0.248,18.998355,0.138,,transit,2014,3900,1.03,5897,
Kepler-25d,0.283,,123,,,radial vel.,2014,,1.19,6270,
Kepler-26d,,0.095,3.543919,0.039,,transit,2014,,0.54,3914,
Kepler-26e,,0.215,46.827915,0.22,,transit,2014,,0.54,3914,
Kepler-31d,6.8,0.348,87.6451,0.4,,transit,2014,6800,1.21,6340,
Kepler-37e,,,51.196,,,timing,2014,220,0.8,5417,
Kepler-46d,,0.146,6.766589,0.067,,transit,2014,2790,0.9,5309,
Kepler-48d,0.025,0.182,42.8961,,,transit,2014,,0.88,5194,
Kepler-48e,2.067,,982,,,radial vel.,2014,,0.88,5194,
Kepler-49d,,0.143,2.576549,0.031,,transit,2014,,0.55,4252,
Kepler-49e,,0.139,18.596108,0.116,,transit,2014,,0.55,4252,
Kepler-51d,0.024,0.865,130.194,0.509,,transit,2014,,1.04,6018,
Kepler-52d,,0.174,36.445171,0.182,,transit,2014,,0.54,4263,
Kepler-53d,,0.189,9.751962,0.091,,transit,2014,,0.98,5858,
Kepler-54d,,0.136,20.995694,0.126,,transit,2014,,0.51,4252,
Kepler-55d,,0.142,2.211099,0.029,,transit,2014,,0.62,4503,
Kepler-55e,,0.138,4.617534,0.048,,transit,2014,,0.62,4503,
Kepler-55f,,0.142,10.198545,0.081,,transit,2014,,0.62,4503,
Kepler-58d,,0.262,40.101371,0.236,,transit,2014,,0.95,6099,
Kepler-79d,0.019,0.639,52.0902,0.287,553,transit,2014,,1.17,6174,
Kepler-79e,0.013,0.311,81.0659,0.386,477,transit,2014,,1.17,6174,
Kepler-80d,0.02124,0.136,3.07222,0.0372,,transit,2014,1160,0.73,4540,
Kepler-80e,0.01299,0.143,4.64489,0.0491,,transit,2014,1160,0.73,4540,
Kepler-81d,,0.108,20.837846,0.128,,transit,2014,,0.64,4500,
Kepler-82d,,0.158,2.382961,0.034,,transit,2014,,0.85,5428,
Kepler-82e,,0.22,5.902206,0.063,,transit,2014,,0.85,5428,
Kepler-83d,,0.173,5.169796,0.051,,transit,2014,,0.66,4648,
Kepler-84d,,0.123,4.224537,0.052,,transit,2014,,1,6031,
Kepler-84e,,0.232,27.434389,0.181,,transit,2014,,1,6031,
Kepler-84f,,0.196,44.552169,0.25,,transit,2014,,1,6031,
Kepler-85d,,0.107,17.91323,0.13,,transit,2014,,0.92,5436,
Kepler-85e,,0.113,25.216751,0.163,,transit,2014,,0.92,5436,
Kepler-93b,0.01265,0.132,4.72673978,0.053,1037,transit,2014,,0.91,5669,
Kepler-93c,3,,1460,,,radial vel.,2014,,0.91,5669,
Kepler-94b,0.034,0.313,2.50806,,,transit,2014,,0.81,4781,
Kepler-94c,9.836,,820.3,,,radial vel.,2014,,0.81,4781,
Kepler-95b,0.041,0.305,11.5231,,,transit,2014,,1.08,5699,
Kepler-96b,0.027,0.238,16.2385,,,transit,2014,,1,5690,
Kepler-97b,0.011,0.132,2.58664,,,transit,2014,,0.94,5779,
Kepler-97c,1.08,,789,,,radial vel.,2014,,0.94,5779,
Kepler-98b,0.011,0.178,1.54168,,,transit,2014,,0.99,5539,
Kepler-99b,0.019,0.132,4.60358,,,transit,2014,,0.79,4782,
Kepler-100b,0.023,0.118,6.88705,,,transit,2014,,1.08,5825,
Kepler-100c,,0.196,12.8159,,,transit,2014,,1.08,5825,
Kepler-100d,,0.144,35.3331,,,transit,2014,,1.08,5825,
Kepler-101b,0.16,0.51,3.4876812,0.0474,,transit,2014,,1.17,5667,
Kepler-101c,0.01,0.112,6.02976,0.0684,,transit,2014,,1.17,5667,
Kepler-102b,,0.042,5.28696,,792,transit,2014,,0.81,4909,
Kepler-102c,,0.052,7.07142,,718,transit,2014,,0.81,4909,
Kepler-102d,0.012,0.105,10.3117,,,transit,2014,,0.81,4909,
Kepler-102f,,0.079,27.4536,,457,transit,2014,,0.81,4909,
Kepler-103b,0.031,0.301,15.9654,,,transit,2014,,1.09,5845,
Kepler-103c,0.114,0.459,179.612,,,transit,2014,,1.09,5845,
Kepler-104b,,0.277,11.427548,0.094,,transit,2014,,0.81,5711,
Kepler-104c,,0.279,23.668205,0.153,,transit,2014,,0.81,5711,
Kepler-104d,,0.319,51.755394,0.257,,transit,2014,,0.81,5711,
Kepler-105c,0.01447,0.117,7.1262,,,transit,2014,,0.96,5827,
Kepler-106b,,0.073,6.16486,,,transit,2014,,1,5858,
Kepler-106c,0.033,0.223,13.5708,,,transit,2014,,1,5858,
Kepler-106d,,0.085,23.9802,,,transit,2014,,1,5858,
Kepler-106e,0.035,0.228,43.8445,,,transit,2014,,1,5858,
Kepler-107b,,0.139,3.179997,0.044,,transit,2014,,,5851,
Kepler-107c,,0.161,4.901425,0.059,,transit,2014,,,5851,
Kepler-107d,,0.095,7.958203,0.082,,transit,2014,,,5851,
Kepler-107e,,0.308,14.749049,0.123,,transit,2014,,,5851,
Kepler-108b,,0.772,49.183921,0.292,,transit,2014,,0.87,5854,
Kepler-108c,,0.73,190.323494,0.721,,transit,2014,,0.87,5854,
Kepler-109b,,0.211,6.48163,,,transit,2014,,1.04,5952,
Kepler-109c,,0.225,21.2227,,,transit,2014,,1.04,5952,
Kepler-110b,,0.163,12.691112,0.107,,transit,2014,,,5960,
Kepler-110c,,0.197,31.719775,0.198,,transit,2014,,,5960,
Kepler-111b,,0.141,3.341815,0.046,,transit,2014,,,5952,
Kepler-111c,,0.651,224.784608,0.761,,transit,2014,,,5952,
Kepler-112b,,0.211,8.408878,0.076,,transit,2014,,,5544,
Kepler-112c,,0.214,28.574263,0.172,,transit,2014,,,5544,
Kepler-113b,0.037,0.162,4.754,,,transit,2014,,0.75,4725,
Kepler-113c,,0.194,8.92507,,,transit,2014,,0.75,4725,
Kepler-114b,,0.112,5.188549,0.053,722,transit,2014,,0.56,4605,
Kepler-115b,,0.097,2.403679,0.036,,transit,2014,,1,5979,
Kepler-115c,,0.232,8.990889,0.087,,transit,2014,,1,5979,
Kepler-116b,,0.305,5.968734,0.069,,transit,2014,,1.16,6142,
Kepler-116c,,0.205,13.07163,0.116,,transit,2014,,1.16,6142,
Kepler-117b,0.094,0.719,18.7959228,0.1445,,transit,2014,4700,1.13,6150,
Kepler-117c,1.84,1.101,50.790391,0.2804,,transit,2014,4700,1.13,6150,
Kepler-118b,,0.175,7.518496,0.073,,transit,2014,,0.86,5274,
Kepler-118c,,0.685,20.17202,0.141,,transit,2014,,0.86,5274,
Kepler-119b,,0.321,2.422082,0.035,,transit,2014,,,5595,
Kepler-119c,,0.082,4.125103,0.049,,transit,2014,,,5595,
Kepler-120b,,0.192,6.312501,0.055,,transit,2014,,,4096,
Kepler-120c,,0.136,12.794585,0.088,,transit,2014,,,4096,
Kepler-121b,,0.209,3.177422,0.039,,transit,2014,,,5311,
Kepler-121c,,0.203,41.008011,0.216,,transit,2014,,,5311,
Kepler-122b,,0.209,5.766193,0.064,,transit,2014,,0.99,6050,
Kepler-122c,,0.524,12.465988,0.108,,transit,2014,,0.99,6050,
Kepler-122d,,0.196,21.587475,0.155,,transit,2014,,0.99,6050,
Kepler-122e,,0.232,37.993273,0.227,,transit,2014,,0.99,6050,
Kepler-122f,0.113,0.156,56.268,,,timing,2014,,0.99,6050,
Kepler-123b,,0.262,17.232366,0.135,,transit,2014,,1.03,6089,
Kepler-123c,,0.132,26.695074,0.181,,transit,2014,,1.03,6089,
Kepler-124b,,0.065,3.410493,0.039,,transit,2014,,,4984,
Kepler-124c,,0.156,13.821375,0.1,,transit,2014,,,4984,
Kepler-124d,,0.099,30.950851,0.17,,transit,2014,,,4984,
Kepler-125b,,0.211,4.164389,0.041,,transit,2014,,0.55,3810,
Kepler-125c,,0.066,5.774464,0.051,,transit,2014,,0.55,3810,
Kepler-126b,,0.136,10.495711,0.099,,transit,2014,,,6239,
Kepler-126c,,0.141,21.869741,0.162,,transit,2014,,,6239,
Kepler-126d,,0.223,100.283134,0.448,,transit,2014,,,6239,
Kepler-127b,,0.125,14.435889,0.125,,transit,2014,,,6106,
Kepler-127c,,0.237,29.393195,0.2,,transit,2014,,,6106,
Kepler-127d,,0.236,48.630408,0.28,,transit,2014,,,6106,
Kepler-129b,,0.211,15.79186,0.131,,transit,2014,,1.18,5770,
Kepler-129c,,0.227,82.20017,0.393,,transit,2014,,1.18,5770,
Kepler-130b,,0.091,8.457458,0.079,,transit,2014,,1,5884,
Kepler-130c,,0.259,27.50868,0.178,,transit,2014,,1,5884,
Kepler-130d,,0.146,87.517905,0.377,,transit,2014,,1,5884,
Kepler-131b,0.051,0.215,16.092,,,transit,2014,,1.02,5685,
Kepler-131c,0.026,0.075,25.5169,,,transit,2014,,1.02,5685,
Kepler-132b,,0.108,6.178196,0.067,,transit,2014,,,6003,
Kepler-132c,,0.114,6.414914,0.068,,transit,2014,,,6003,
Kepler-132d,,0.138,18.010199,0.136,,transit,2014,,,6003,
Kepler-133b,,0.157,8.129976,0.083,,transit,2014,,,5736,
Kepler-133c,,0.253,31.517586,0.204,,transit,2014,,,5736,
Kepler-134b,,0.178,5.317429,0.06,,transit,2014,,,5983,
Kepler-134c,,0.112,10.105785,0.092,,transit,2014,,,5983,
Kepler-135b,,0.161,6.00253,0.067,,transit,2014,,,6090,
Kepler-135c,,0.103,11.448708,0.103,,transit,2014,,,6090,
Kepler-136b,,0.183,11.5789,0.106,,transit,2014,,1.2,6165,
Kepler-136c,,0.178,16.399235,0.133,,transit,2014,,1.2,6165,
Kepler-137b,,0.131,8.436387,0.077,,transit,2014,,,5187,
Kepler-137c,,0.168,18.735753,0.13,,transit,2014,,,5187,
Kepler-138b,0.00021,0.047,10.3126,,,transit,2014,,0.52,3841,
Kepler-138c,0.0062,0.107,13.7813,,,transit,2014,,0.52,3841,
Kepler-138d,0.00201,0.108,23.0881,,431,transit,2014,,0.52,3841,
Kepler-139b,,0.262,15.771044,0.127,,transit,2014,,1.08,5594,
Kepler-139c,,0.302,157.072878,0.586,,transit,2014,,1.08,5594,
Kepler-140b,,0.144,3.25427,0.045,,transit,2014,,,6077,
Kepler-140c,,0.161,91.353282,0.414,,transit,2014,,,6077,
Kepler-141b,,0.062,3.107675,0.039,,transit,2014,,1,4910,
Kepler-141c,,0.126,7.010606,0.067,,transit,2014,,1,4910,
Kepler-142b,,0.178,2.024152,0.032,,transit,2014,,0.99,5790,
Kepler-142c,,0.255,4.761702,0.057,,transit,2014,,0.99,5790,
Kepler-142d,,0.193,41.809118,0.242,,transit,2014,,0.99,5790,
Kepler-143b,,0.215,16.007583,0.127,,transit,2014,,,5848,
Kepler-143c,,0.301,27.082511,0.181,,transit,2014,,,5848,
Kepler-144b,,0.119,5.885273,0.066,,transit,2014,,1.03,6075,
Kepler-144c,,0.12,10.104665,0.094,,transit,2014,,1.03,6075,
Kepler-146b,,0.331,31.158799,0.2,,transit,2014,,,5948,
Kepler-146c,,0.279,76.732171,0.364,,transit,2014,,,5948,
Kepler-147b,,0.136,12.610584,0.113,,transit,2014,,1.01,6012,
Kepler-147c,,0.217,33.416423,0.216,,transit,2014,,1.01,6012,
Kepler-148b,,0.161,1.729366,0.028,,transit,2014,,,5272,
Kepler-148c,,0.321,4.180043,0.05,,transit,2014,,,5272,
Kepler-149b,,0.376,29.198943,0.184,,transit,2014,,,5381,
